series,total_markets,live_now,today,upcoming,backtest_n,wins,accuracy,expected_profit,profitable,example_title
KXR6GAME,206,0,0,206,35,28,80.0,-0.12,False,Will Team Secret win the Team Secret vs. FaZe Clan R6 match?
KXPICKLEBALL,159,0,0,159,5,4,80.0,-0.12,False,Will Pablo Tellez/Jaume Martinez-Vich win the PPA Tour Virgi
KXSPACEXSTARSHIP,79,0,0,79,25,20,80.0,-0.12,False,"Will SpaceX launch another Starship by May 31, 2026?"
KXNFLREC,1000,0,0,1000,89,71,79.7752808988764,-0.12224719101123604,False,George Holani: 5+ receptions
KXNHLSPREAD,1000,0,0,1000,29,23,79.3103448275862,-0.12689655172413794,False,San Jose wins by over 2.5 goals?
KXNCAAMENTION,597,0,0,597,101,80,79.20792079207921,-0.12792079207920792,False,What will the announcers say during College Football Playoff
KXALEAGUEGAME,267,0,0,267,67,53,79.1044776119403,-0.1289552238805971,False,Melbourne Victory vs Adelaide Winner?
KXJBLEAGUEGAME,218,0,0,218,66,52,78.78787878787878,-0.1321212121212122,False,Kyoto Hannaryz vs Osaka Evessa Winner?
KXRAINNY,31,0,0,31,9,7,77.77777777777779,-0.14222222222222214,False,Will it rain in New York City on Thursday?
KXBUNDESLIGASPREAD,512,0,0,512,9,7,77.77777777777779,-0.14222222222222214,False,Wolfsburg wins by over 2.5 goals?
KXNFLANYTD,1000,0,0,1000,18,14,77.77777777777779,-0.14222222222222214,False,George Holani: Anytime Touchdown
KXSERIEATOTAL,511,0,0,511,49,38,77.55102040816327,-0.14448979591836741,False,Bologna at Pisa: Totals
KXNFLPREPACK2ML,212,0,0,212,35,27,77.14285714285715,-0.14857142857142847,False,"New England wins against Denver, Seattle wins against Los An"
KXCODGAME,154,0,0,154,35,27,77.14285714285715,-0.14857142857142847,False,Will Toronto KOI win the G2 Minnesota vs. Toronto KOI match?
KXTACAPORTGAME,39,0,0,39,13,10,76.92307692307693,-0.15076923076923066,False,Sporting CP vs AVS Futebol SAD Winner?
KXTSAW,1000,0,0,1000,13,10,76.92307692307693,-0.15076923076923066,False,Will more than 2800000 people be **screened by the TSA** on 
KXCOPADELREYADVANCE,36,0,0,36,17,13,76.47058823529412,-0.15529411764705892,False,Real Betis vs Atletico
KXNFLTEAMTOTAL,809,0,0,809,101,77,76.23762376237624,-0.15762376237623754,False,Seattle at New England: Team Totals: Seattle
KXSURVIVORELIMINATION,147,0,0,147,4,3,75.0,-0.17000000000000004,False,Will Tiffany Nicole Ervin be eliminated from Survivor Season
KXMLBTOTAL,480,0,0,480,20,15,75.0,-0.17000000000000004,False,Los Angeles D vs Toronto (Game 7) Total Runs?
KXUNRIVALEDGAME,72,0,0,72,12,9,75.0,-0.17000000000000004,False,Mist at Breeze Winner?
KXTRUMPMENTIONB,1000,0,0,1000,108,80,74.07407407407408,-0.17925925925925923,False,What will Donald Trump say during Press Briefing on the Supr
KXCPICOREYOY,555,0,0,555,19,14,73.68421052631578,-0.1831578947368422,False,Will the rate of core CPI inflation be above 2.1% for the ye
KXVANCEMENTION,391,0,0,391,76,56,73.68421052631578,-0.1831578947368422,False,What will JD Vance say during The Story with Martha MacCallu
KXMRBEASTMENTION,262,0,0,262,90,66,73.33333333333333,-0.18666666666666676,False,What will MrBeast say during Next MrBeast Youtube Video?
KXPAYROLLS,401,0,0,401,11,8,72.72727272727273,-0.19272727272727275,False,Will above 75000 jobs be added in November 2025?
KXCOPADELREYGAME,90,0,0,90,32,23,71.875,-0.20125000000000007,False,Atletico vs Barcelona Winner?
KXFLIGHTLAX,158,0,0,158,7,5,71.42857142857143,-0.20571428571428574,False,Will there be more than 800 delays and cancellations at Los 
KXCFPSEED,97,0,0,97,7,5,71.42857142857143,-0.20571428571428574,False,College Football Playoffs: 12 Seed
KXNFLRECYDS,1000,0,0,1000,80,57,71.25,-0.20750000000000005,False,Jake Bobo: 30+ receiving yards
KXKIMMELMENTION,164,0,0,164,52,37,71.15384615384616,-0.20846153846153848,False,What will Martin Short say during Jimmy Kimmel Live!?
KXEPLSPREAD,764,0,0,764,10,7,70.0,-0.2200000000000001,False,Chelsea wins by over 2.5 goals?
KXJOBLESSCLAIMS,242,0,0,242,23,16,69.56521739130434,-0.22434782608695658,False,How many initial jobless claims will there be the week endin
KXNFLPASSTDS,812,0,0,812,48,33,68.75,-0.23250000000000007,False,Sam Darnold: 4+ passing touchdowns
KXNFLPASSYDS,1000,0,0,1000,114,77,67.54385964912281,-0.24456140350877198,False,Sam Darnold: 350+ passing yards
KXTOPSONG,1000,0,0,1000,15,10,66.66666666666666,-0.2533333333333335,False,Will Opalite be the #1 song on the Billboard Hot 100 charts 
KXCPIAPPAREL,133,0,0,133,3,2,66.66666666666666,-0.2533333333333335,False,Will apparel CPI rise more than 0.5% in May 2025?
KXEURO,36,0,0,36,6,4,66.66666666666666,-0.2533333333333335,False,"What will the EURO/USD exchange rate be >1.06 on July 01, 20"
KX538APPROVE,1000,0,0,1000,12,8,66.66666666666666,-0.2533333333333335,False,Will the President's approval rating on 538 be above 49.0?
KXIIHFGAME,30,0,0,30,6,4,66.66666666666666,-0.2533333333333335,False,Czechia U20 at Sweden U20 Winner?
KXNFL2TD,1000,0,0,1000,12,8,66.66666666666666,-0.2533333333333335,False,Rashid Shaheed: 2+ Touchdowns
KXHMONTHRANGE,186,0,0,186,6,4,66.66666666666666,-0.2533333333333335,False,Dec 2026 temperature increase?
KXTSA,81,0,0,81,6,4,66.66666666666666,-0.2533333333333335,False,Will more than 1.9 million people be screened by the TSA on 
KXNCAABMENTION,697,0,0,697,86,57,66.27906976744185,-0.2572093023255815,False,What will the announcers say during Arizona at Houston men's
KXKLEAGUEGAME,54,0,0,54,17,11,64.70588235294117,-0.27294117647058835,False,Gangwon vs Pohang Steelers Winner?
KXASYLUMCASES,75,0,0,75,8,5,62.5,-0.29500000000000004,False,How many asylum cases will be recieved in May 2025?
KXLIGUE1SPREAD,432,0,0,432,8,5,62.5,-0.29500000000000004,False,Paris wins by over 2.5 goals?
KXNFLPREPACK,110,0,0,110,21,13,61.904761904761905,-0.30095238095238097,False,"New York G wins against New England, New York G and New Engl"
KXATPTOTALSETS,164,0,0,164,30,18,60.0,-0.32000000000000006,False,Over 4.5 total sets played in the Carlos Alcaraz vs Novak Dj
KXCOLBERTMENTION,130,0,0,130,51,30,58.82352941176471,-0.33176470588235296,False,What will Bernie Sanders say during The Late Show with Steph
KXSTARMERMENTION,147,0,0,147,51,29,56.86274509803921,-0.3513725490196079,False,Will Keir Starmer say Ukraine at Prime Minister's Questions 
KXSURVIVORMENTION,192,0,0,192,62,35,56.451612903225815,-0.3554838709677419,False,What will Jeff Probst say during Survivor Season 49 Finale?
KXNFLPREPACK3ML,128,0,0,128,16,9,56.25,-0.35750000000000004,False,"San Francisco wins against Seattle, Denver wins against Buff"
KXNFLRSHYDS,1000,0,0,1000,126,69,54.761904761904766,-0.37238095238095237,False,Rhamondre Stevenson: 49+ rushing yards
KXATPEXACTMATCH,492,0,0,492,22,12,54.54545454545454,-0.3745454545454546,False,Will Novak Djokovic win the Carlos Alcaraz vs Novak Djokovic
KXNCAAHOCKEYGAME,819,0,0,819,13,7,53.84615384615385,-0.3815384615384616,False,Alaska vs Alaska Anchorage Winner?
KXLATENIGHTMENTION,141,0,0,141,57,30,52.63157894736842,-0.39368421052631586,False,What will Will Smith say during The Tonight Show Starring Ji
KXCPISHELTER,90,0,0,90,4,2,50.0,-0.42000000000000004,False,Will shelter CPI rise more than 0.5% in May 2025?
KXOILW,30,0,0,30,2,1,50.0,-0.42000000000000004,False,"Will the price of oil get above $95 by August 22, 2022?"
KXWOLUGE,192,0,0,192,6,3,50.0,-0.42000000000000004,False,Will United States win any medal in Luge Men's Doubles?
KXWTAMOA,34,0,0,34,4,2,50.0,-0.42000000000000004,False,Will Daria Saville be a winner of the quarterfinal of WTA Me
KXSNLMENTION,127,0,0,127,46,23,50.0,-0.42000000000000004,False,What will Alexander Skarsgård say during Saturday Night Live
KXUFCMOF,44,0,0,44,5,2,40.0,-0.52,False,Will either competitor win the Sean Strickland vs. Anthony H
KXLEAVITTMENTIONDURATION,90,0,0,90,19,7,36.84210526315789,-0.5515789473684211,False,How long will Karoline Leavitt speak for at Press Briefing o
KXUFCMOV,252,0,0,252,32,11,34.375,-0.57625,False,Will Juliana Miller win the Juliana Miller vs. Carli Judice 
KXNHLGOAL,1000,0,0,1000,3,1,33.33333333333333,-0.5866666666666668,False,Tomas Hertl: Anytime Goalscorer
KXSPOTIFYALBUMW,742,0,0,742,4,1,25.0,-0.67,False,"Top Album on Weekly Top Albums USA on Feb 26, 2026?"
KXDGAAWARDS,68,0,0,68,4,1,25.0,-0.67,False,Will Tie win Outstanding Directorial Achievement in Document
KXWTIW,1000,0,0,1000,9,2,22.22222222222222,-0.6977777777777778,False,Will the WTI front-month settle oil price  be >72.99 on Feb 
KXSPOTIFYVIRALD,512,0,0,512,0,0,0.0,0.0,False,"Will the top Song on Feb 15, 2025 be Want To Love - Just Raw"
KXMVENFLMULTIGAMEEXTENDED,1000,0,0,1000,0,0,0.0,0.0,False,"no Las Vegas wins by over 14.5 points,no Over 37.5 points sc"
KXNHLPTS,1000,0,0,1000,0,0,0.0,0.0,False,Tomas Hertl: 3+ points
KXWTAATX,38,0,0,38,0,0,0.0,0.0,False,Will Greet Minnen be a winner of the quarterfinal of WTA Aus
KXUCLGOAL,1000,0,0,1000,0,0,0.0,0.0,False,Johnny Cardoso: 1+ goals
KXPICKLEBALLGAMES,60,0,0,60,1,0,0.0,-0.92,False,Will Johns/Tardio win the PPA Tour Men's Doubles: Johns/Tard
KXEPLGOAL,1000,0,0,1000,0,0,0.0,0.0,False,Ayden Heaven: 1+ goals
KXMVEGRAMMYS,1000,0,0,1000,0,0,0.0,0.0,False,"yes Let God Sort Em Out,yes Anxiety"
KXMVENFLSINGLEGAME,1000,0,0,1000,0,0,0.0,0.0,False,"yes Puka Nacua: 6+,yes Kyren Williams: 90+,yes Over 38.5 poi"
